112520251526404600,"/gps/fix","lat,long,alt",37.229600,-80.413900,5
112520251526404800,"/gps/fix","lat,long,alt",37.229635,-80.413875,6
112520251526405000,"/gps/fix","lat,long,alt",37.229670,-80.413900,7
112520251526405200,"/gps/fix","lat,long,alt",37.229705,-80.413825,8
112520251526405400,"/gps/fix","lat,long,alt",37.229740,-80.413900,9
112520251526405600,"/gps/fix","lat,long,alt",37.229775,-80.413875,10
112520251526405800,"/gps/fix","lat,long,alt",37.229810,-80.413900,8
112520251526406000,"/gps/fix","lat,long,alt",37.229845,-80.413825,7
112520251526406200,"/gps/fix","lat,long,alt",37.229880,-80.413900,6
112520251526406400,"/gps/fix","lat,long,alt",37.229915,-80.413875,4
112520251526406600,"/gps/fix","lat,long,alt",37.229950,-80.413900,5
112520251526406800,"/gps/fix","lat,long,alt",37.229985,-80.413825,6
112520251526407000,"/gps/fix","lat,long,alt",37.230020,-80.413900,5
112520251526407200,"/gps/fix","lat,long,alt",37.230055,-80.413875,7
112520251526407400,"/gps/fix","lat,long,alt",37.230090,-80.413900,5
112520251526407600,"/gps/fix","lat,long,alt",37.230125,-80.413825,4
112520251526407800,"/gps/fix","lat,long,alt",37.230160,-80.413900,3
112520251526408000,"/gps/fix","lat,long,alt",37.230195,-80.413875,2
112520251526408200,"/gps/fix","lat,long,alt",37.230230,-80.413900,1
112520251526408400,"/gps/fix","lat,long,alt",37.230265,-80.413825,1
